2020-10-16 15:05:13.687 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.boot.demo.DemoApplicationTests], using SpringBootContextLoader
2020-10-16 15:05:17.627 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-16 15:05:18.321 [main] INFO  com.boot.demo.DemoApplicationTests - Started DemoApplicationTests in 4.082 seconds (JVM running for 6.093)
2020-10-16 15:05:19.191 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-10-16 15:05:19.193 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-10-16 15:05:19.195 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-10-10 16:03:57.968 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.boot.demo.DemoApplicationTests], using SpringBootContextLoader
2021-10-10 16:03:57.976 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.boot.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-10-10 16:03:57.977 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.boot.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-10-10 16:03:58.104 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.boot.demo.BootApplication for test class com.boot.demo.DemoApplicationTests
2021-10-10 16:03:58.234 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-10-10 16:03:58.254 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@21be3395, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4f49f6af, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@78452606, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@147e2ae7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@448c8166, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4470fbd6, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@15d49048, org.springframework.test.context.event.EventPublishingTestExecutionListener@7098b907, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@503f91c3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13526e59, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2235eaab, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@17503f6b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3bcd05cb]
2021-10-10 16:03:58.647 [main] INFO  com.boot.demo.DemoApplicationTests - Starting DemoApplicationTests on LX-20191105CPLD with PID 26448 (started by Administrator in F:\CODE_MY\SpringCloud\boot)
2021-10-10 16:03:58.648 [main] DEBUG com.boot.demo.DemoApplicationTests - Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2021-10-10 16:03:58.649 [main] INFO  com.boot.demo.DemoApplicationTests - No active profile set, falling back to default profiles: default
2021-10-10 16:04:00.070 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-10-10 16:04:00.306 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-10-10 16:04:00.849 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-10-10 16:04:01.239 [main] INFO  com.boot.demo.DemoApplicationTests - Started DemoApplicationTests in 2.938 seconds (JVM running for 4.068)
2021-10-10 16:04:01.734 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-10-10 16:04:01.736 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-10-10 16:04:01.738 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
